1970、タンゴ、ネコ、ひらく、ソラ、ニャーオ
1975、モンスター、ほうら、どけ、魔球、Aegean
1980、ダンシング・オールナイト、PURE、チュンチュン、スイスイ、ニャンニャン
1985、CHA、Get、AH、dance、Like
1990、YAH、ピーヒャラ、Heart、パッパパラパ、Miss
1995、WowWar、tonight、Stay、LA、Wow
2000、Da、Traveling、Lu、secret、keep
2005、life、さくら、SI、take、セニョリータ
2010、Na、Hey、sweet、Moving、now
