-0.719317,-0.719317,3.131132
-0.728955,-0.671557,3.173085
-0.721531,-0.607904,3.140770
-0.727791,-0.555872,3.168019
-0.728808,-0.499262,3.172448
-0.712755,-0.432143,3.102570
-0.746287,-0.393710,3.248531
-0.751584,-0.337325,3.271591
-0.727459,-0.269217,3.166573
-0.732904,-0.213523,3.190275
-0.702508,-0.149352,3.057965
-0.734746,-0.098352,3.198296
-0.752033,-0.041451,3.273542
-0.744290,0.017582,3.239839
-0.754557,0.077238,3.284528
-0.738979,0.133831,3.216719
-0.734245,0.190788,3.196112
-0.736857,0.249487,3.207482
-0.744950,0.310885,3.242713
-0.740974,0.367570,3.225405
-0.746141,0.428884,3.247897
-0.742746,0.485416,3.233116
-0.780210,0.571335,3.396196
-0.705702,0.572341,3.071868
-0.714879,0.636073,3.111814
-0.759448,0.735528,3.305819
-0.706641,-0.672722,3.125171
-0.715995,-0.624348,3.166540
-0.713467,-0.565066,3.155360
-0.713108,-0.507733,3.153773
-0.726934,-0.459422,3.214917
-0.721166,-0.398084,3.189409
-0.740058,-0.349307,3.272961
-0.713732,-0.279783,3.156533
-0.716316,-0.223491,3.167961
-0.722920,-0.167717,3.197165
-0.715993,-0.108831,3.166529
-0.702576,-0.050585,3.107193
-0.723259,0.005786,3.198664
-0.731804,0.064399,3.236458
-0.714088,0.119967,3.158104
-0.728229,0.180601,3.220645
-0.726007,0.238130,3.210818
-0.712708,0.290785,3.152001
-0.728743,0.355627,3.222920
-0.732477,0.416047,3.239431
-0.741770,0.480667,3.280532
-0.738237,0.537436,3.264906
-0.685008,0.553487,3.029498
-0.712947,0.633097,3.153058
-0.717391,0.694435,3.172715
-0.703713,-0.692270,3.162825
-0.651134,-0.587609,2.926511
-0.706264,-0.579941,3.174294
-0.676322,-0.500368,3.039718
-0.684592,-0.450829,3.076888
-0.683820,-0.394725,3.073417
-0.697862,-0.346094,3.136529
-0.701050,-0.290679,3.150857
-0.693720,-0.231240,3.117913
-0.699459,-0.176286,3.143708
-0.697243,-0.119042,3.133750
-0.703157,-0.062884,3.160330
-0.720787,-0.005860,3.239564
-0.707774,0.051788,3.181079
-0.702100,0.108454,3.155576
-0.701973,0.165506,3.155005
-0.711745,0.225675,3.198928
-0.696512,0.277472,3.130464
-0.699307,0.335440,3.143023
-0.704641,0.395287,3.166999
-0.728449,0.467865,3.274002
-0.727370,0.526309,3.269155
-0.713155,0.574003,3.205265
-0.745287,0.660457,3.349679
-0.753253,0.728757,3.385484
-0.684045,-0.695351,3.125245
-0.662277,-0.618490,3.025793
-0.672139,-0.572151,3.070849
-0.677229,-0.520515,3.094106
-0.658905,-0.451976,3.010389
-0.670772,-0.404681,3.064604
-0.706224,-0.367703,3.226576
-0.695991,-0.304856,3.179826
-0.678680,-0.241184,3.100734
